original_skill,normalized_skill
Fullstack) tối thiểu 3 năm.Có kinh nghiệm quản lý một nhóm với hơn 5 thành viên.Có kinh nghiệm phát triển phần mềm sử dụng nhiều ngôn ngữ khác nhau là 1 lợi thế.Hiểu biết về các mô hình quản lý dự án (Waterfall,fullstack) tối thiểu 3 năm.có kinh nghiệm quản lý một nhóm với hơn 5 thành viên.có kinh nghiệm phát triển phần mềm sử dụng nhiều ngôn ngữ khác nhau là 1 lợi thế.hiểu biết về các mô hình quản lý dự án (waterfall
Gitlab,gitlab
Giải quyết vấn đề. Quản lý thời gian. Quản lý giao tiếp. Học hiệu quả. Giao tiếp tốt và hòa nhâp môi trường tốt. Học việc nhanh. Giao tiếp tiếng anh cơ bảnGiao tiếp tiếng trung khá,giải quyết vấn đề. quản lý thời gian. quản lý giao tiếp. học hiệu quả. giao tiếp tốt và hòa nhâp môi trường tốt. học việc nhanh. giao tiếp tiếng anh cơ bảngiao tiếp tiếng trung khá
Google ++,google
Gsuite tools,gsuite tools
Ham học hỏi có ý chí cầu tiến.Luôn luôn vui vẻ hoà đồng nhiệt tình với đồng nghiệp trong công ty.Có kỹ năng giao tiếp càng tốt.Thực hiện đúng nội quy của công ty đưa ra.Thái độ tốt,ham học hỏi có ý chí cầu tiến.luôn luôn vui vẻ hoà đồng nhiệt tình với đồng nghiệp trong công ty.có kỹ năng giao tiếp càng tốt.thực hiện đúng nội quy của công ty đưa ra.thái độ tốt
Hà Nội,hà nội
Hàn Quốc,hàn quốc
Học viện bưu chính viễn thông- Thành thạo các kỹ thuật trong .NET technology: C thăng,học viện bưu chính viễn thông- thành thạo các kỹ thuật trong .net technology: c thăng
IELTS,ielts
Illustrator,illustrator
JS,js
Jira,jira
KH doanh nghiệp.- Tính cách: Nhiệt tình,kh doanh nghiệp.- tính cách: nhiệt tình
KHÔNG YÊU CẦU KINH NGHIỆM,không yêu cầu kinh nghiệm
Kaizen,kaizen
Kanban…)Có kinh nghiệm triển khai hệ thống (CI,kanban…)có kinh nghiệm triển khai hệ thống (ci
Khả năng chịu áp lực cao trong công việc,khả năng chịu áp lực cao trong công việc
Khả năng thông thạo đường xá nhanh chóng Chăm chỉ,khả năng thông thạo đường xá nhanh chóng chăm chỉ
Kinh nghiệm: Đã có kinh nghiệm làm quản lý tại các gara,kinh nghiệm: đã có kinh nghiệm làm quản lý tại các gara
Kinh tếSử dụng tốt Excel,kinh tếsử dụng tốt excel
Kế toán doanh nghiệp,kế toán doanh nghiệp
Kỹ năng viết lách và sử dụng ngôn từ Pr hiệu quả Kỹ năng phân tích và tổng hợp thông tin Kỹ năng giao tiếp khéo léo và luôn vui vẻ hòa đồng Kỹ năng tạo dựng những mối quan hệ Kỹ năng về ngoại ngữ với khả năng đọc,kỹ năng viết lách và sử dụng ngôn từ pr hiệu quả kỹ năng phân tích và tổng hợp thông tin kỹ năng giao tiếp khéo léo và luôn vui vẻ hòa đồng kỹ năng tạo dựng những mối quan hệ kỹ năng về ngoại ngữ với khả năng đọc
Kỹ thuật cơ khí động lực,kỹ thuật cơ khí động lực
Lao Động Phổ Thông Sau Nạn Dịch Tại Quận 9,lao động phổ thông sau nạn dịch tại quận 9
Less,less
Lập báo cáo chi tiết tình hình chất lượng trong từng công đoạn,lập báo cáo chi tiết tình hình chất lượng trong từng công đoạn
Lợi tức đầu tư,lợi tức đầu tư
Mako).● Experience in SQL,mako).● experience in sql
MongoDB,mongodb
MySQL,mysql
Mô tả công việc - Chăm sóc khách hàng và tư vấn bán các sản phẩm của công ty,mô tả công việc - chăm sóc khách hàng và tư vấn bán các sản phẩm của công ty
Nam,nam
Nam nữ từ 24 đến 48 tuổiCó xe máy và điện thoại thông minhChấp nhận di chuyển xa một ngày 10 đến 40KM,nam nữ từ 24 đến 48 tuổicó xe máy và điện thoại thông minhchấp nhận di chuyển xa một ngày 10 đến 40km
Ngoại ngữ,ngoại ngữ
Nguồn Nhân lực,nguồn nhân lực
Ngày cập nhật: 12,ngày cập nhật: 12
Ngân Hàng,ngân hàng
Ngôn ngữ Anh và chứng chỉ nghiệp vụ Sư phạm,ngôn ngữ anh và chứng chỉ nghiệp vụ sư phạm
NoSQL databases and their declarative query languages● Proficient understanding of code versioning tools (Git) and git flow process.NICE TO HAVE:● Have knowledge in Micro service architecture.● Good knowledge working with system or working CI,nosql databases and their declarative query languages● proficient understanding of code versioning tools (git) and git flow process.nice to have:● have knowledge in micro service architecture.● good knowledge working with system or working ci
NonSQL…- Hiểu biết và có kinh nghiệm về xây dựng hệ thống bán hàng trực tuyến,nonsql…- hiểu biết và có kinh nghiệm về xây dựng hệ thống bán hàng trực tuyến
Nữ,nữ
Nữ 24-30- Hiểu biết về nghiệp vụ đào tạo phát triển và bán hàng- Có 2 năm kinh nghiệm Telesales - Ưu tiên ứng viên có kinh nghiệm từ 1 năm các vị trí tương đương- Kỹ năng giao tiếp,nữ 24-30- hiểu biết về nghiệp vụ đào tạo phát triển và bán hàng- có 2 năm kinh nghiệm telesales - ưu tiên ứng viên có kinh nghiệm từ 1 năm các vị trí tương đương- kỹ năng giao tiếp
Nữ tuổi từ 25 đến 32,nữ tuổi từ 25 đến 32
Nữ từ 23-35t,nữ từ 23-35t
OOP,oop
PARTIME,partime
PHƯỜNG PHÚ HỮU,phường phú hữu
PMP là lợi thế.,pmp là lợi thế
Photoshop,photoshop
Phường Bình Trưng Đông,phường bình trưng đông
Poster. - Kinh nghiệm: 1 năm kinh nghiệm trở lên. Ứng viên gửi kèm sản phẩm trong portfolio. - Trình độ: biết sử dụng cơ bản về các phần mềm Photoshop,poster. - kinh nghiệm: 1 năm kinh nghiệm trở lên. ứng viên gửi kèm sản phẩm trong portfolio. - trình độ: biết sử dụng cơ bản về các phần mềm photoshop
Power Point … - Có thể quản lý đội nhóm có nhiều thành viên,power point … - có thể quản lý đội nhóm có nhiều thành viên
Power Point … - Khả năng truyền cảm hứng,power point … - khả năng truyền cảm hứng
Power Point … - Khả năng truyền đạt thông tin hiệu quả,power point … - khả năng truyền đạt thông tin hiệu quả
Power Point … - Kỹ năng lãnh đạo tốt,power point … - kỹ năng lãnh đạo tốt
Premiere,premiere
QUẬN 9,quận 9
Quận 2,quận 2
Quận 2 CÔNG TY TNHH XE ĐIỆN BLUERA VIỆT NHẬT Lượt xem: 5455,quận 2 công ty tnhh xe điện bluera việt nhật lượt xem: 5455
RedmineƯu tiên giỏi tiếng Anh: cả kỹ năng viết và giao tiếp.Có năng lực phân tích tài liệu,redmineưu tiên giỏi tiếng anh: cả kỹ năng viết và giao tiếp.có năng lực phân tích tài liệu
SAT,sat
SOAP and,soap and
SOAP services,soap services
SOAP.- Đã làm việc trên: Oracle hoặc có kinh nghiệm trên các hệ quản trị cơ sở dữ liệu khác: MSSQL server,soap.- đã làm việc trên: oracle hoặc có kinh nghiệm trên các hệ quản trị cơ sở dữ liệu khác: mssql server
SVN…,svn
Scrum,scrum
Shopdrawing… 4. Năng động,shopdrawing… 4. năng động
Six Sigma,six sigma
Stripe ... ) is a plus● Experience with some service of aws,stripe ... ) is a plus● experience with some service of aws
StrongLoop,strongloop
Sắp xếp,sắp xếp
Sư phạm Tiếng Anh,sư phạm tiếng anh
Số lượng tuyển : 6 – 8Giới Tính: NamĐộ tuổi: 22-35Tốt nghiệp Đại học,số lượng tuyển : 6 – 8giới tính: namđộ tuổi: 22-35tốt nghiệp đại học
TESOL (nếu có). - Có năng lực giao tiếp và xử lý tình huống tốt,tesol (nếu có). - có năng lực giao tiếp và xử lý tình huống tốt
TKT,tkt
TNCN,tncn
TNDN,tndn
TOEIC,toeic
TP THỦ ĐỨC + được tham gia : BHXH,tp thủ đức + được tham gia : bhxh
TP Thủ Đức . Hạn nộp hồ sơ: 01,tp thủ đức . hạn nộp hồ sơ: 01
TVC,tvc
Tech lead tối thiểu 1 năm,tech lead tối thiểu 1 năm
Thân thiện,thân thiện
Tinh thần trách nhiệm cao,tinh thần trách nhiệm cao
Tinh thần trách nhiệm trong công việc,tinh thần trách nhiệm trong công việc
Toán tin,toán tin
Trong thời gian học tập trên giảng đường đại học,trong thời gian học tập trên giảng đường đại học
Trình độ: Cao đẳng,trình độ: cao đẳng
Twiter,twiter
Tài Chính Ngân Hàng,tài chính ngân hàng
Tài Chính.Kỹ năng giao tiếp,tài chính.kỹ năng giao tiếp
Tài chính,tài chính
Tây Hồ,tây hồ
Tốt nghiệp Cao đẳng,tốt nghiệp cao đẳng
Tốt nghiệp từ cao đẳng trở lên,tốt nghiệp từ cao đẳng trở lên
Tốt nghiệp Đại Học hoặc Cao Đẳng trở lên các chuyên ngành Công nghệ thông tin.Có 1 năm kinh nghiệm trở lên làm với Flutter và ưu tiên biết về IOS Native.Có kinh nghiệm về handle với Restful API (Back-end),tốt nghiệp đại học hoặc cao đẳng trở lên các chuyên ngành công nghệ thông tin.có 1 năm kinh nghiệm trở lên làm với flutter và ưu tiên biết về ios native.có kinh nghiệm về handle với restful api (back-end
UX design experience is a plus. - Willing to learn new things : React-Native,ux design experience is a plus. - willing to learn new things : react-native
VTC,vtc
Viral Video… – Phối hợp cùng NV Thiết kế để chụp ảnh minh họa cho bài viết. – Hợp tác với các bộ phận để xây dựng kế hoạch bài viết,viral video… – phối hợp cùng nv thiết kế để chụp ảnh minh họa cho bài viết. – hợp tác với các bộ phận để xây dựng kế hoạch bài viết
Vui vẻ,vui vẻ
Web API- Sử dụng thành thạo các công cụ quản lý Source Code như Git,web api- sử dụng thành thạo các công cụ quản lý source code như git
Web Application Development architect● Have at least 2 years of experience in Python,web application development architect● have at least 2 years of experience in python
Webservice,webservice
XML…- Có kinh nghiệm các kỹ thuật lập trình Website: HTML,xml…- có kinh nghiệm các kỹ thuật lập trình website: html
YÊU CẦU CÔNG VIỆC - Thành thạo Adobe Illustrator,yêu cầu công việc - thành thạo adobe illustrator
Yêu cầu ứng viên: - Tốt nghiệp chuyên ngành Tiếng Anh,yêu cầu ứng viên: - tốt nghiệp chuyên ngành tiếng anh
Yêu cầu: •Trình độ cử nhân chuyên ngành kế toán,yêu cầu: •trình độ cử nhân chuyên ngành kế toán
and CSS3- Understanding accessibility and security compliance- User authentication and authorization between multiple systems,and css3- understanding accessibility and security compliance- user authentication and authorization between multiple systems
and environments- Integration of multiple data sources and databases into one system- Understanding fundamental design principles behind a scalable application- Understanding differences between multiple delivery platforms,and environments- integration of multiple data sources and databases into one system- understanding fundamental design principles behind a scalable application- understanding differences between multiple delivery platforms
and multi-process architecture.● Good understanding of server-side templating languages (Jinja 2,and multi-process architecture.● good understanding of server-side templating languages (jinja 2
and optimizing output to match the specific platform- Creating database schemas that represent and support business processes- Implementing automated testing platforms and unit tests- Proficient understanding of code versioning tools,and optimizing output to match the specific platform- creating database schemas that represent and support business processes- implementing automated testing platforms and unit tests- proficient understanding of code versioning tools
at least 1-2 years in the IT field.• Experienced in recruiting Tech positions.• University degree in Human Resource Management,at least 1-2 years in the it field.• experienced in recruiting tech positions.• university degree in human resource management
azure ..● Experience with multiple database types such as Redis,azure ..● experience with multiple database types such as redis
back office là điểm cộng,back office là điểm cộng
bao gồm các thủ tục thi công,bao gồm các thủ tục thi công
biên tậpnội dung tiếp thị cho các sản phẩm dịch vụ của công ty. – Xây dựng mối quan hệ đối với các phóng viên,biên tậpnội dung tiếp thị cho các sản phẩm dịch vụ của công ty. – xây dựng mối quan hệ đối với các phóng viên
biết cách di chuyển dựa trên gợi ý của GPS - Biết cách lắng nghe và kiên nhẫn,biết cách di chuyển dựa trên gợi ý của gps - biết cách lắng nghe và kiên nhẫn
biết cách quản lý thời gian,biết cách quản lý thời gian
biết lắng nghe,biết lắng nghe
biết lắng nghe.5. Có khả năng làm việc nhóm6. Biết lái xe ô tô là một lợi thế,biết lắng nghe.5. có khả năng làm việc nhóm6. biết lái xe ô tô là một lợi thế
biết sắp xếp và điều phối công việc linh hoạt- Làm việc độc lập và theo nhóm tốt.,biết sắp xếp và điều phối công việc linh hoạt- làm việc độc lập và theo nhóm tốt
biết thương lượng và xử lý tình huống tốt.- Có tinh thần đồng đội,biết thương lượng và xử lý tình huống tốt.- có tinh thần đồng đội
biết tiếng Nhật tương đương N3 (tối thiểu là N4,biết tiếng nhật tương đương n3 (tối thiểu là n4
biết ưu tiên các đầu việc quan trọng để hoàn thành kịp tiến độ cấp trên yêu cầu - Là người siêng năng,biết ưu tiên các đầu việc quan trọng để hoàn thành kịp tiến độ cấp trên yêu cầu - là người siêng năng
bài post fanpage và kịch bản video về sản phẩm,bài post fanpage và kịch bản video về sản phẩm
bán hàng và quy trình bán hàng + Thành thạo tin học văn phòng và sử dụng máy tính + Có kiến thức về chuỗi cung ứng và các hoạt động bán lẻ,bán hàng và quy trình bán hàng + thành thạo tin học văn phòng và sử dụng máy tính + có kiến thức về chuỗi cung ứng và các hoạt động bán lẻ
báo chí – Thựchiện tốt các công việc khác do quản lý giao phó. – Báo cáo công việc theo tiến độ,báo chí – thựchiện tốt các công việc khác do quản lý giao phó. – báo cáo công việc theo tiến độ
báo cáo tốt.- Kỹ năng làm việc độc lập,báo cáo tốt.- kỹ năng làm việc độc lập
báo cáo.- Kỹ năng giao tiếp.- Có khả năng chịu được áp lực cao trong công việc.,báo cáo.- kỹ năng giao tiếp.- có khả năng chịu được áp lực cao trong công việc
bên cạnh đó nếu có yêu cầu thì cũng sẽ tìm hiểu để đáp ứng nhiệm vụ được phân công trên những tuyến đường mới - Có khả năng quan sát,bên cạnh đó nếu có yêu cầu thì cũng sẽ tìm hiểu để đáp ứng nhiệm vụ được phân công trên những tuyến đường mới - có khả năng quan sát
bảo trì các phương tiện (ô tô,bảo trì các phương tiện (ô tô
bắt nhịp nhanh với môi trường mới,bắt nhịp nhanh với môi trường mới
bền bỉ với các con số. Các điều kiện ưu tiên khác: •Ưu tiên ứng viên đã làm tại các đơn vị hoạt động trong lĩnh vực xây dựng,bền bỉ với các con số. các điều kiện ưu tiên khác: •ưu tiên ứng viên đã làm tại các đơn vị hoạt động trong lĩnh vực xây dựng
bốc xếp hàng hóa,bốc xếp hàng hóa
cao đẳng 2. Có kinh nghiệm 2 - 3 năm tại vị trí tương đương (hàng dệt kim)3. Hiểu biết kỹ lưỡng về phát triển sản phẩm và quy trình tìm nguồn cung ứng4. Có kiến thức về sản phẩm dệt may và kỹ thuật,cao đẳng 2. có kinh nghiệm 2 - 3 năm tại vị trí tương đương (hàng dệt kim)3. hiểu biết kỹ lưỡng về phát triển sản phẩm và quy trình tìm nguồn cung ứng4. có kiến thức về sản phẩm dệt may và kỹ thuật
cao đẳng chuyên ngành Kế toán hoặc các ngành liên quan- Tư duy logic,cao đẳng chuyên ngành kế toán hoặc các ngành liên quan- tư duy logic
cao đẳng chuyên ngành Marketing,cao đẳng chuyên ngành marketing
cao đẳng chuyên ngành tài chính,cao đẳng chuyên ngành tài chính
cao đẳng các chuyên ngành về Nhân sự,cao đẳng các chuyên ngành về nhân sự
chi tiết,chi tiết
chiều từ 13h-17h30,chiều từ 13h-17h30
chiều từ 1h đến 5h30 chiều chủ nhật nghỉ - công việc : lắp ráp các linh kiện,chiều từ 1h đến 5h30 chiều chủ nhật nghỉ - công việc : lắp ráp các linh kiện
chu đáo,chu đáo
chuyên nghiệp,chuyên nghiệp
chuyên nghiệp.• Ưu tiên ứng viên có kinh nghiệm tại vị trí tương đương tại các khách sạn từ 3 sao trở lên.,chuyên nghiệp.• ưu tiên ứng viên có kinh nghiệm tại vị trí tương đương tại các khách sạn từ 3 sao trở lên
chuyên ngành kinh tế,chuyên ngành kinh tế
chuyển cho Trưởng bộ phận xin ý kiến về các điều khoản hợp đồng. Lập thủ tục ký kết hợp đồng,chuyển cho trưởng bộ phận xin ý kiến về các điều khoản hợp đồng. lập thủ tục ký kết hợp đồng
chuỗi dịch vụ phòng khám nha,chuỗi dịch vụ phòng khám nha
chân thành với khách hàng.,chân thành với khách hàng
chăm chỉ,chăm chỉ
chăm chỉ và kiên trì.Có mục tiêu và định hướng phát triển công việc rõ ràng.,chăm chỉ và kiên trì.có mục tiêu và định hướng phát triển công việc rõ ràng
chăm chỉ và siêng năng trong khi làm việc - Luôn đặt công việc là ưu tiên hàng đầu - Có kỹ năng giải quyết các vấn đề phát sinh trong quá trình làm việc hiệu quả,chăm chỉ và siêng năng trong khi làm việc - luôn đặt công việc là ưu tiên hàng đầu - có kỹ năng giải quyết các vấn đề phát sinh trong quá trình làm việc hiệu quả
chăm sóc khách hàng tốt. - Luôn tuân thủ các quy định mà công ty đặt ra.,chăm sóc khách hàng tốt. - luôn tuân thủ các quy định mà công ty đặt ra
chăm sóc những khách hàng tiềm năng khác,chăm sóc những khách hàng tiềm năng khác
chấp hành tốt các quy định mà công ty đề ra. Thông thạo luật giao thông,chấp hành tốt các quy định mà công ty đề ra. thông thạo luật giao thông
chấp nhận ứng viên mới ra trường. 3. Sử dụng thành thạo các phần mềm Microsoft office,chấp nhận ứng viên mới ra trường. 3. sử dụng thành thạo các phần mềm microsoft office
chất có cồn trong quá trình lái xe. - Nắm bắt các kỹ thuật lái xe theo tiêu chuẩn - Có khả năng quan sát tốt,chất có cồn trong quá trình lái xe. - nắm bắt các kỹ thuật lái xe theo tiêu chuẩn - có khả năng quan sát tốt
chế độ kế toán,chế độ kế toán
chỉ cần đi một lần là nhớ - Có tính cần cù,chỉ cần đi một lần là nhớ - có tính cần cù
chỉ xong trách nhiệm khi khách hàng đã thanh toán xong,chỉ xong trách nhiệm khi khách hàng đã thanh toán xong
chịu học hỏi,chịu học hỏi
chịu khó,chịu khó
chịu khó - Khả năng học và tự học hỏi nhanh. - Có khả năng thích nghi nhanh với môi trường làm việc - Kỹ năng tổ chức và quản lý công việc hiệu quả - Chịu được áp lực cao trong công việc - Kỹ năng làm việc nhóm hiệu quả - Khả năng tìm kiếm giải pháp và lựa chọn các giải pháp tối ưu - Thành thạo tin học văn phòng - Khả năng giải quyết vấn đề linh hoạt,chịu khó - khả năng học và tự học hỏi nhanh. - có khả năng thích nghi nhanh với môi trường làm việc - kỹ năng tổ chức và quản lý công việc hiệu quả - chịu được áp lực cao trong công việc - kỹ năng làm việc nhóm hiệu quả - khả năng tìm kiếm giải pháp và lựa chọn các giải pháp tối ưu - thành thạo tin học văn phòng - khả năng giải quyết vấn đề linh hoạt
chịu khó - Kỹ năng thuyết trình tốt - Có khả năng thích nghi nhanh với môi trường làm việc - Có khả năng quản lý,chịu khó - kỹ năng thuyết trình tốt - có khả năng thích nghi nhanh với môi trường làm việc - có khả năng quản lý
chịu khó - Kỹ năng thuyết trình tốt - Dễ dàng hòa nhập với môi trường làm việc mới - Quản lý thời gian hiệu quả - Có thể chịu được công việc có nhiều áp lực - Có khả năng xây dựng và làm việc theo đội nhóm - Biết cách phân loại vấn đề diễn ra trong quá trình xử lý công việc - Kỹ năng tin học văn phòng thành thạo - Có tầm nhìn và sự quyết đoán,chịu khó - kỹ năng thuyết trình tốt - dễ dàng hòa nhập với môi trường làm việc mới - quản lý thời gian hiệu quả - có thể chịu được công việc có nhiều áp lực - có khả năng xây dựng và làm việc theo đội nhóm - biết cách phân loại vấn đề diễn ra trong quá trình xử lý công việc - kỹ năng tin học văn phòng thành thạo - có tầm nhìn và sự quyết đoán
chịu khó cập nhật thông tin phục vụ cho nhu cầu công việc,chịu khó cập nhật thông tin phục vụ cho nhu cầu công việc
chịu khó tìm hiểu các vấn đề trong công việc và cuộc sống Tinh thần trách nhiệm trong công việc Chịu được áp lực trong công việc Hòa đồng,chịu khó tìm hiểu các vấn đề trong công việc và cuộc sống tinh thần trách nhiệm trong công việc chịu được áp lực trong công việc hòa đồng
chịu khó tìm hiểu các vấn đề trong công việc và cuộc sống bình thường,chịu khó tìm hiểu các vấn đề trong công việc và cuộc sống bình thường
chịu khó tìm hiểu các vấn đề trong công việc và cuộc sốngTinh thần trách nhiệm trong công việcChịu được áp lực trong công việcHòa đồng,chịu khó tìm hiểu các vấn đề trong công việc và cuộc sốngtinh thần trách nhiệm trong công việcchịu được áp lực trong công việchòa đồng
chịu được áp lực cao trong công việc Có khả năng phân tích dữ liệu Kiểm soát chất lượng nguyên liệu đầu vào và quy trình đóng gói hàng hóa,chịu được áp lực cao trong công việc có khả năng phân tích dữ liệu kiểm soát chất lượng nguyên liệu đầu vào và quy trình đóng gói hàng hóa
chịu được áp lực công việc,chịu được áp lực công việc
chủ động giải quyết,chủ động giải quyết
chủ động rút kinh nghiệm cho các công tác sau,chủ động rút kinh nghiệm cho các công tác sau
chủ động trong công việc,chủ động trong công việc
chủ động trong công việc- Có tính kỷ luật,chủ động trong công việc- có tính kỷ luật
chủ động về phương tiện di chuyển - Kỹ năng giao hàng bằng xe máy - Thông thạo mọi cung đường tại Hà Nội - Biết sử dụng điện thoại thông minh - Cẩn thận,chủ động về phương tiện di chuyển - kỹ năng giao hàng bằng xe máy - thông thạo mọi cung đường tại hà nội - biết sử dụng điện thoại thông minh - cẩn thận
các chuẩn mực kế toán,các chuẩn mực kế toán
các khối ngành Kế toán,các khối ngành kế toán
các loại chứng từ,các loại chứng từ
các phần mềm hỗ trợ cho việc lái xe,các phần mềm hỗ trợ cho việc lái xe
các phần mềm tính km di chuyển và phần mềm tính tiền. - Có thể giao tiếp tốt,các phần mềm tính km di chuyển và phần mềm tính tiền. - có thể giao tiếp tốt
các qui phạm pháp luật liên quan đến kế toán tài chính,các qui phạm pháp luật liên quan đến kế toán tài chính
cẩn thận,cẩn thận
cẩn thận -Quan sát,cẩn thận -quan sát
có chí tiến thủ.4. Chăm chỉ,có chí tiến thủ.4. chăm chỉ
có chứng chỉ của trường có dưới 1 năm kinh nghiệm làm nhân viên thiết kế rập thời trang,có chứng chỉ của trường có dưới 1 năm kinh nghiệm làm nhân viên thiết kế rập thời trang
có các ca linh hoạt- Nhanh nhẹn,có các ca linh hoạt- nhanh nhẹn
có các mối quan hệ tốt với khách hàng,có các mối quan hệ tốt với khách hàng
có khả năng giao tiếp.5. Ưu tiên ứng viên đã có kinh nghiệm làm kế toán công nợ tại các Công ty Xây dựng,có khả năng giao tiếp.5. ưu tiên ứng viên đã có kinh nghiệm làm kế toán công nợ tại các công ty xây dựng
có khả năng sử dụng phần mềm.- Khả năng làm việc độc lập,có khả năng sử dụng phần mềm.- khả năng làm việc độc lập
có khả năng thuyết trình và trình bày - Có khả năng thích nghi nhanh với môi trường làm việc - Biết quan sát,có khả năng thuyết trình và trình bày - có khả năng thích nghi nhanh với môi trường làm việc - biết quan sát
có khả năng thuyết trình và trình bày - Có khả năng thích nghi nhanh với môi trường làm việc - Kỹ năng tổ chức và quản lý công việc hiệu quả - Khả năng chịu được áp lực công việc - Có khả năng xây dựng và làm việc theo đội nhóm - Khả năng tìm kiếm giải pháp và lựa chọn các giải pháp tối ưu - Thành thạo tin học văn phòng - Khả năng truyền đạt thông tin hiệu quả,có khả năng thuyết trình và trình bày - có khả năng thích nghi nhanh với môi trường làm việc - kỹ năng tổ chức và quản lý công việc hiệu quả - khả năng chịu được áp lực công việc - có khả năng xây dựng và làm việc theo đội nhóm - khả năng tìm kiếm giải pháp và lựa chọn các giải pháp tối ưu - thành thạo tin học văn phòng - khả năng truyền đạt thông tin hiệu quả
có khả năng thuyết trình và trình bày - Có khả năng thích nghi nhanh với môi trường làm việc - Quản lý thời gian hiệu quả - Khả năng chịu được áp lực công việc - Kỹ năng làm việc nhóm tốt. - Xử lý tình huống nhanh - Kỹ năng soạn thảo văn bản,có khả năng thuyết trình và trình bày - có khả năng thích nghi nhanh với môi trường làm việc - quản lý thời gian hiệu quả - khả năng chịu được áp lực công việc - kỹ năng làm việc nhóm tốt. - xử lý tình huống nhanh - kỹ năng soạn thảo văn bản
có khả năng thuyết trình và trình bày - Dễ dàng hòa nhập với môi trường làm việc mới - Kỹ năng tổ chức và quản lý công việc hiệu quả - Có khả năng làm việc dưới áp lực cao - Kỹ năng làm việc nhóm hiệu quả - Biết cách phân loại vấn đề diễn ra trong quá trình xử lý công việc - Kỹ năng soạn thảo văn bản,có khả năng thuyết trình và trình bày - dễ dàng hòa nhập với môi trường làm việc mới - kỹ năng tổ chức và quản lý công việc hiệu quả - có khả năng làm việc dưới áp lực cao - kỹ năng làm việc nhóm hiệu quả - biết cách phân loại vấn đề diễn ra trong quá trình xử lý công việc - kỹ năng soạn thảo văn bản
có khả năng thuyết trình và trình bày - Dễ dàng làm quen với môi trường mới - Biết quan sát,có khả năng thuyết trình và trình bày - dễ dàng làm quen với môi trường mới - biết quan sát
có khả năng thuyết trình và trình bày - Khả năng thích ứng với công việc nhanh - Kỹ năng tổ chức và quản lý công việc hiệu quả - Khả năng chịu được áp lực công việc - Làm việc độc lập và làm việc nhóm - Xử lý tình huống nhanh - Kỹ năng tin học văn phòng thành thạo - Có thể quản lý đội nhóm có nhiều thành viên,có khả năng thuyết trình và trình bày - khả năng thích ứng với công việc nhanh - kỹ năng tổ chức và quản lý công việc hiệu quả - khả năng chịu được áp lực công việc - làm việc độc lập và làm việc nhóm - xử lý tình huống nhanh - kỹ năng tin học văn phòng thành thạo - có thể quản lý đội nhóm có nhiều thành viên
có khả năng truyền đạt,có khả năng truyền đạt
có khả quan sát tốt và chú ý đến từng chi tiết nhỏ + Có kiến thức về tiếp thị,có khả quan sát tốt và chú ý đến từng chi tiết nhỏ + có kiến thức về tiếp thị
có kinh nghiệm là một lợi thế,có kinh nghiệm là một lợi thế
có kiến thức về luật,có kiến thức về luật
có kỹ năng làm việc nhóm,có kỹ năng làm việc nhóm
có kỹ năng xử lý số liệu tốt,có kỹ năng xử lý số liệu tốt
có máu kiếm tiền - Sử dụng vi tính văn phòng.,có máu kiếm tiền - sử dụng vi tính văn phòng
có mục tiêu phấn đấu để thăng tiến,có mục tiêu phấn đấu để thăng tiến
có phẩm chất đạo đức nghề nghiệp,có phẩm chất đạo đức nghề nghiệp
có thể ghi nhớ địa chỉ và tên của khách hàng. - Chăm chỉ và chịu khó. - Trung thực và đảm bảo hàng hóa còn nguyên đai,có thể ghi nhớ địa chỉ và tên của khách hàng. - chăm chỉ và chịu khó. - trung thực và đảm bảo hàng hóa còn nguyên đai
có thể giao tiếp được với người nước ngoài. - Có trách nhiệm với công việc được giao phó. - Sử dụng các thiết bị điều khiển trên xe một cách thành thạo.,có thể giao tiếp được với người nước ngoài. - có trách nhiệm với công việc được giao phó. - sử dụng các thiết bị điều khiển trên xe một cách thành thạo
có thể thực hiện các công tác chuyên chở hàng hóa hàng giờ đồng hồ với quãng đường xa hoặc di chuyển xuyên đêm. Khả năng sắp xếp hàng hóa,có thể thực hiện các công tác chuyên chở hàng hóa hàng giờ đồng hồ với quãng đường xa hoặc di chuyển xuyên đêm. khả năng sắp xếp hàng hóa
có thể đi công tác theo xe lâu. - Có thể sắp xếp lịch lái xe ổn định,có thể đi công tác theo xe lâu. - có thể sắp xếp lịch lái xe ổn định
có tinh thần cầu tiến cao - CÓ LAPTOP - Không yêu cầu kinh nghiệm,có tinh thần cầu tiến cao - có laptop - không yêu cầu kinh nghiệm
có tinh thần trách nhiệm- Có laptop cá nhân- Sinh năm 95 - 20,có tinh thần trách nhiệm- có laptop cá nhân- sinh năm 95 - 20
có trách nhiệm,có trách nhiệm
có trách nhiệm cao trong công việc.- Tốt nghiệp Đại Học trở lên.- Đã có kinh nghiệm đi làm ít nhất 1 năm trở lên.- Độ tuổi từ 20 đến 35 Tuổi- Kỹ năng vi tính văn phòng tốt,có trách nhiệm cao trong công việc.- tốt nghiệp đại học trở lên.- đã có kinh nghiệm đi làm ít nhất 1 năm trở lên.- độ tuổi từ 20 đến 35 tuổi- kỹ năng vi tính văn phòng tốt
có trách nhiệm trong công việc - Nhanh nhẹn,có trách nhiệm trong công việc - nhanh nhẹn
có trách nhiệm với công việc,có trách nhiệm với công việc
